YEAR,FIPS,COUNTY,STATE,% OBESE
2018,1011,Bullock County,Alabama,18.7
2018,2068,Denali Borough,Alaska,18.9
2018,2105,Hoonah-Angoon Census Area,Alaska,19.4
2018,2195,Petersburg Census Area,Alaska,17.2
2018,2230,Skagway Municipality,Alaska,18.3
2018,5097,Montgomery County,Arkansas,19
2018,6003,Alpine County,California,18.1
2018,6027,Inyo County,California,18.1
2018,6035,Lassen County,California,19.5
2018,6041,Marin County,California,16.5
2018,6043,Mariposa County,California,17.1
2018,6051,Mono County,California,18.6
2018,6057,Nevada County,California,15.7
2018,6061,Placer County,California,18.9
2018,6063,Plumas County,California,18.1
2018,6075,San Francisco County,California,15.4
2018,6087,Santa Cruz County,California,17.4
2018,6091,Sierra County,California,18
2018,8013,Boulder County,Colorado,13.6
2018,8014,Broomfield County,Colorado,18.5
2018,8015,Chaffee County,Colorado,14.4
2018,8019,Clear Creek County,Colorado,18.7
2018,8023,Costilla County,Colorado,18.1
2018,8027,Custer County,Colorado,18.1
2018,8033,Dolores County,Colorado,18.8
2018,8035,Douglas County,Colorado,19
2018,8037,Eagle County,Colorado,16.6
2018,8047,Gilpin County,Colorado,17.9
2018,8049,Grand County,Colorado,16.2
2018,8051,Gunnison County,Colorado,13.8
2018,8053,Hinsdale County,Colorado,18.5
2018,8057,Jackson County,Colorado,17.8
2018,8061,Kiowa County,Colorado,19.2
2018,8067,La Plata County,Colorado,18.2
2018,8065,Lake County,Colorado,18.9
2018,8079,Mineral County,Colorado,17.4
2018,8085,Montrose County,Colorado,19.1
2018,8091,Ouray County,Colorado,17.1
2018,8097,Pitkin County,Colorado,14.2
2018,8103,Rio Blanco County,Colorado,17.1
2018,8107,Routt County,Colorado,13.7
2018,8111,San Juan County,Colorado,17.8
2018,8113,San Miguel County,Colorado,17.2
2018,8115,Sedgwick County,Colorado,18.3
2018,8117,Summit County,Colorado,15.2
2018,13005,Bacon County,Georgia,18.3
2018,13007,Baker County,Georgia,18.4
2018,13035,Butts County,Georgia,18.9
2018,13037,Calhoun County,Georgia,19.4
2018,13053,Chattahoochee County,Georgia,17.9
2018,13065,Clinch County,Georgia,18.5
2018,13099,Early County,Georgia,18.7
